Investment trust name,Listed,SDR,yfinance_ticker
abrdn Global Sustainable Equity Fund,,SDR Labelled,0P00000VCP.L
abrdn UK Sustainable Equity Fund,,SDR Labelled,0P0000XON0.L
Aegon Sustainable Diversified Growth Fund,,SDR Labelled,0P0000PUD3.L
Aegon Sustainable Equity Fund,,SDR Labelled,0P0001CJ32.L
AEW UK Impact Fund,,SDR Labelled,0P0001HAI6.L
Aquila Energy Efficiency Trust,Listed,,AEET.L
Aquila European Renewables,Listed,,AERI.L
ARC TIME Social Impact Property Fund,,SDR Labelled,0P0001H7ML.L
AXA Carbon Transition Global Short Duration Bond Fund,,SDR Labelled,0P0001SAIS.L
AXA Carbon Transition Sterling Buy and Maintain Credit Fund,,SDR Labelled,0P00011S28.L
,,,
AXA Global Sustainable Managed Fund,,SDR Labelled,0P0000XNBV.L
AXA People & Planet Equity Fund,,SDR Labelled,0P0000XMRV.L
AXA UK Sustainable Equity Fund,,SDR Labelled,0P0000XNC0.L
Baillie Gifford Positive Change Fund,,SDR Labelled,
Baillie Gifford Sustainable Growth Fund,,SDR Labelled,
BFM Brown to Green Materials Fund (BlackRock),,SDR Labelled,
Bluefield Solar Income Fund,Listed,,BSIF.L
CT Responsible Global Equity Fund,,SDR Labelled,
CT Sustainable Global Equity Income Fund,,SDR Labelled,
CT Sustainable Opportunities Global Equity Fund,,SDR Labelled,
CT Sustainable Universal MAP Adventurous Fund,,SDR Labelled,
CT Sustainable Universal MAP Balanced Fund,,,
CT Sustainable Universal MAP Cautious Fund,,SDR Labelled,
CT Sustainable Universal MAP Defensive Fund,,SDR Labelled,
CT Sustainable Universal MAP Growth Fund,,SDR Labelled,
CT UK Sustainable Equity Fund,,SDR Labelled,
Downing Renewables & Infrastructure,Listed,,DORE.L
Ecofin US Renewables Infrastructure,Listed,,DORE.L
EdenTree Global Impact Bond Fund,,SDR Labelled,
EdenTree Global Select Government Bond Fund,,SDR Labelled,
EdenTree Global Sustainable Government Bond Fund,,SDR Labelled,
Edentree Green Future Fund,,SDR Labelled,
EdenTree Green Infrastructure Fund,,SDR Labelled,
Fidelity Sustainable European Equity Fund,,SDR Labelled,
Fidelity Sustainable Global Equity Fund,,SDR Labelled,
Fidelity Sustainable Multi-Asset Balanced Fund,,SDR Labelled,
Fidelity Sustainable Multi-Asset Conservative Fund,,SDR Labelled,
Fidelity Sustainable Multi-Asset Growth Fund,,SDR Labelled,
