Fund Name,Ticker,Date,Close Price,NAV,Discount (%)
Aquila Energy Efficiency Trust,AEET.L,2025-07-16,33.7,85.55,-60.60783167738164
Aquila European Renewables,AERS.L,2025-07-16,53.4,7639.0938,-99.30096420598998
Bluefield Solar Income Fund,BSIF.L,2025-07-16,96.7,123.01,-21.38850499959353
Downing Renewables & Infrastructure,DORE.L,2025-07-16,101.75,112.36,-9.442862228551085
Foresight Environmental Infrastructure,FGENF.L,2025-07-16,82.0,106.5,-23.004694835680752
Foresight Solar Fund,FSFL.L,2025-07-16,92.1,111.0,-17.027027027027035
Gore Street Energy Storage Fund,GSF.L,2025-07-16,63.7,102.8,-38.035019455252915
Greencoat UK Wind,UKWG.L,2025-07-16,126.0,150.0,-16.0
Gresham House Energy Storage,GRID.L,2025-07-16,79.6,109.38,-27.226183945876762
HydrogenOne Capital Growth,HGEN.L,2025-07-16,26.9,89.28,-69.87007168458781
Impax Environmental Markets,IEM.L,2025-07-15,387.0,428.53,-9.691270156115085
NextEnergy Solar Fund,NESF.L,2025-07-16,74.0,95.1,-22.18717139852786
Octopus Renewables Infrastructure Trust,ORIT.L,2025-07-16,73.0,101.62,-28.163747293839798
Renewables Infrastructure Group,TRIG.L,2025-07-16,88.8,112.7,-21.206743566992017
Schroder BSC Social Impact Trust,SBSI.L,2025-07-16,75.5,102.06,-26.023907505388987
SDCL Efficiency Income,SEIT.L,2025-07-16,57.5,90.6,-36.53421633554083
VH Global Energy Infrastructure,ENRGV.L,2025-07-16,72.8,103.29,-29.518830477296937
